,Id,User,Rating,Date Posted,Negativity_Score,Neutrality_Score,Positivity_Score,Compound_Score,Error,Evaluated_User_Rating
25,tt0053010_3,nateemery,3/10,26 July 2001,0.059,0.869,0.072,0.8954,215.89999999999998,0.3
26,tt0054034_0,jjcyd,10/10,20 May 2006,0.038,0.834,0.128,0.9718,-1.4100000000000001,1.0
27,tt0054034_1,mfcappie,10/10,9 October 2004,0.02,0.795,0.185,0.9729,-1.354999999999995,1.0
28,tt0054034_2,zzmale,,18 February 2004,0.0,1.0,0.0,0.0,,
29,tt0054034_3,hisakura,9/10,12 March 2006,0.026,0.84,0.134,0.9793,9.9611111111111,0.9
30,tt0054034_4,davidagilliam,8/10,22 June 2017,0.0,0.792,0.208,0.9618,22.612499999999994,0.8
31,tt0054034_5,johnmperry,7/10,29 June 2010,0.023,0.851,0.125,0.9136,36.68571428571429,0.7
32,tt0055371_0,zzmale,10/10,24 November 2003,0.113,0.721,0.166,0.659,-17.049999999999997,1.0
33,tt0056078_0,illinoisximi,10/10,21 December 2006,0.09,0.869,0.04,-0.8693,-93.465,1.0
34,tt0056078_1,zzmale,10/10,12 February 2004,0.035,0.779,0.186,0.8176,-9.119999999999994,1.0
35,tt0057713_0,molloy10000,10/10,23 February 2005,0.055,0.801,0.144,0.9151,-4.244999999999999,1.0
36,tt0057713_1,zzmale,10/10,24 November 2003,0.086,0.706,0.209,0.8922,-5.390000000000006,1.0
37,tt0059855_0,mcfloodhorse,8/10,11 December 2008,0.061,0.8,0.139,0.9661,22.88124999999999,0.8
38,tt0059855_1,dont_b_so_BBC,10/10,23 June 2005,0.091,0.842,0.067,-0.8067,-90.335,1.0
39,tt0059855_2,Mozjoukine,,15 December 2002,0.075,0.794,0.132,0.9642,,
40,tt0059855_3,AndreiPavlov,10/10,3 March 2006,0.08,0.787,0.132,0.9288,-3.5600000000000076,1.0
41,tt0059855_4,Logan San,10/10,26 February 2004,0.025,0.87,0.105,0.9401,-2.994999999999992,1.0
42,tt0059855_5,ja_kitty_71,10/10,11 June 2009,0.012,0.768,0.22,0.9887,-0.5649999999999933,1.0
43,tt0059855_6,jonasjobbar,9/10,9 November 2004,0.027,0.882,0.091,0.6407,-8.85,0.9
44,tt0059855_7,sunnymoon13,,12 November 2002,0.0,0.841,0.159,0.8248,,
45,tt0059855_8,alphahumphrey-54847,7/10,7 February 2020,0.0,0.914,0.086,0.4404,2.8857142857142852,0.7
46,tt0059855_9,beavers-651-802579,7/10,2 February 2010,0.109,0.624,0.268,0.9799,41.42142857142858,0.7
47,tt0059855_10,noam-73050,8/10,20 August 2018,0.076,0.701,0.223,0.6808,5.049999999999999,0.8
48,tt0076581_0,zzmale,1/10,17 March 2004,0.091,0.759,0.15,0.8297,814.8499999999999,0.1
49,tt0079421_0,zzmale,,16 February 2004,0.114,0.746,0.14,0.4404,,
50,tt0079891_0,BernieK,,26 November 2000,0.123,0.778,0.099,-0.6349,,
51,tt0079891_1,AlbinH,8/10,27 November 2000,0.144,0.771,0.085,-0.8927,-93.29375,0.8
52,tt0079891_2,pbtips,,19 February 2002,0.327,0.625,0.048,-0.9856,,
53,tt0079891_3,EricYu,10/10,18 February 1999,0.123,0.674,0.203,0.7469,-12.654999999999994,1.0
54,tt0079891_4,chris-836,,27 February 2000,0.039,0.875,0.085,0.6415,,
55,tt0079891_5,AzSumTuk,10/10,19 February 2006,0.074,0.715,0.211,0.968,-1.6000000000000014,1.0
56,tt0079891_6,zzmale,,12 January 2004,0.173,0.758,0.068,-0.8481,,
57,tt0079891_7,MattP-3,10/10,7 July 1999,0.061,0.767,0.173,0.9189,-4.054999999999998,1.0
58,tt0079891_8,bob the moo,,29 December 2008,0.111,0.767,0.122,0.9426,,
59,tt0079891_9,daan_de_geus,9/10,21 April 2007,0.148,0.64,0.213,0.9088,6.044444444444444,0.9
60,tt0079891_10,view_and_review,6/10,9 September 2018,0.23,0.747,0.023,-0.9519,-95.99166666666666,0.6
61,tt0079891_11,Lomedin,3/10,30 October 2010,0.095,0.714,0.19,0.9371,222.85,0.3
62,tt0079891_12,kiirn,8/10,30 March 2003,0.0,0.777,0.223,0.9456,21.599999999999994,0.8
63,tt0079891_13,veganflimgeek,6/10,22 May 2004,0.131,0.643,0.226,0.9829,65.24166666666666,0.6
64,tt0079891_14,blazeholiday,7/10,15 January 2007,0.017,0.745,0.239,0.9888,42.05714285714286,0.7
65,tt0079891_15,Rooster99,9/10,7 July 2009,0.194,0.694,0.112,-0.9412,-96.73333333333333,0.9
66,tt0079891_16,Reshep,8/10,26 April 2007,0.043,0.859,0.099,0.7476,9.224999999999998,0.8
67,tt0079891_17,deluca.lorenzo@libero.it,1/10,26 December 2020,0.05,0.863,0.087,0.8827,841.3499999999999,0.1
68,tt0079891_18,gavin6942,6/10,17 February 2017,0.082,0.811,0.106,0.4118,17.65,0.6
69,tt0079891_19,callanvass,7/10,26 August 2013,0.07,0.738,0.192,0.9859,41.85000000000001,0.7
70,tt0079891_20,kiwarrior,8/10,25 September 2006,0.216,0.587,0.197,-0.4075,-62.96874999999999,0.8
71,tt0080404_0,stratmann_sg,10/10,24 April 2015,0.076,0.803,0.121,0.9837,-0.8149999999999991,1.0
72,tt0080404_1,zzmale,10/10,16 December 2003,0.073,0.866,0.061,-0.0772,-53.86,1.0
73,tt0081553_0,howard.schumann,,18 August 2003,0.108,0.767,0.125,0.3043,,
74,tt0081553_1,zzmale,,20 November 2003,0.104,0.839,0.057,-0.7935,,
75,tt0081632_0,zzmale,10/10,20 November 2003,0.073,0.649,0.279,0.9847,-0.7649999999999935,1.0
76,tt0081632_1,rdinislobo,5/10,19 November 2015,0.102,0.733,0.165,0.9727,97.27000000000001,0.5
77,tt0081770_0,zzmale,10/10,20 November 2003,0.085,0.886,0.028,-0.802,-90.10000000000001,1.0
78,tt0081781_0,zzmale,10/10,15 December 2003,0.022,0.897,0.081,0.7506,-12.470000000000002,1.0
79,tt0081781_1,nomaster-169-541249,8/10,18 August 2013,0.033,0.83,0.136,0.9588,22.425,0.8
80,tt0081781_2,hooraychining,4/10,15 August 2020,0.073,0.767,0.16,0.9305,141.31249999999997,0.4
81,tt0081971_0,zzmale,10/10,26 November 2003,0.045,0.731,0.224,0.9095,-4.525000000000001,1.0
82,tt0082662_0,zzmale,,17 February 2004,0.226,0.697,0.077,-0.9713,,
83,tt0083060_0,zzmale,,18 March 2004,0.045,0.78,0.175,0.9618,,
84,tt0083345_0,zzmale,,6 April 2004,0.091,0.893,0.016,-0.9165,,
85,tt0084280_0,howard.schumann,8/10,23 August 2004,0.099,0.82,0.081,-0.8625,-91.40625,0.8
86,tt0084280_1,zzmale,,19 February 2004,0.022,0.748,0.23,0.9648,,
87,tt0084280_2,jessicacoco2005,8/10,29 March 2020,0.098,0.768,0.134,0.9287,20.54375,0.8
88,tt0084363_0,zzmale,10/10,20 November 2003,0.094,0.749,0.158,0.9483,-2.584999999999993,1.0
89,tt0084363_1,zhangwenliang10,10/10,16 January 2020,0.012,0.714,0.274,0.9948,-0.25999999999999357,1.0
90,tt0084363_2,bing_ming66,5/10,15 March 2001,0.023,0.862,0.115,0.9022,90.22000000000001,0.5
91,tt0085326_0,p_radulescu,10/10,27 June 2011,0.111,0.818,0.071,-0.9248,-96.24,1.0
92,tt0085326_1,zzmale,10/10,29 November 2003,0.03,0.921,0.049,0.4207,-28.964999999999996,1.0
93,tt0085326_2,lukechong,8/10,5 January 2018,0.043,0.808,0.149,0.9878,24.237499999999994,0.8
94,tt0085837_0,zzmale,,17 February 2004,0.0,0.924,0.076,0.8593,,
95,tt0086621_0,oOgiandujaOo_and_Eddy_Merckx,8/10,27 July 2014,0.16,0.72,0.12,-0.9062,-94.1375,0.8
96,tt0086621_1,zzmale,,7 April 2004,0.022,0.862,0.116,0.8176,,
97,tt0086878_0,audreymickey,9/10,1 November 2001,0.048,0.743,0.21,0.981,10.055555555555545,0.9
98,tt0086878_1,zzmale,10/10,28 November 2003,0.0,0.863,0.137,0.8271,-8.645000000000003,1.0
99,tt0086878_2,lucas_liu,9/10,16 June 2003,0.057,0.755,0.188,0.8999,5.550000000000006,0.9
100,tt0086878_3,audreymickey,9/10,1 November 2001,0.048,0.743,0.21,0.981,10.055555555555545,0.9
101,tt0087057_0,BrianDanaCamp,,15 April 2013,0.093,0.783,0.124,0.9683,,
102,tt0087301_0,Bobak!,8/10,11 June 1999,0.087,0.738,0.175,0.9428,21.425,0.8
103,tt0087301_1,Niels-2,10/10,11 September 1998,0.058,0.872,0.07,0.3716,-31.42,1.0
104,tt0087301_2,hujue198635,,9 May 2013,0.12,0.727,0.153,0.9822,,
105,tt0087301_3,zzmale,,19 November 2003,0.12,0.801,0.079,-0.8999,,
106,tt0087433_0,Nazi_Fighter_David,8/10,13 November 2005,0.057,0.893,0.05,-0.3167,-57.293749999999996,0.8
107,tt0087433_1,mdworak,10/10,5 June 2000,0.088,0.827,0.084,0.128,-43.599999999999994,1.0
108,tt0087433_2,howard.schumann,,26 May 2003,0.136,0.818,0.046,-0.9925,,
109,tt0087433_3,cameroj,10/10,17 November 2003,0.027,0.858,0.115,0.9844,-0.7800000000000029,1.0
110,tt0087433_4,zzmale,10/10,24 November 2003,0.148,0.777,0.075,-0.7169,-85.845,1.0
111,tt0087433_5,rikkihon,,27 January 2005,0.203,0.781,0.016,-0.9805,,
112,tt0087433_6,Atavisten,9/10,8 October 2005,0.061,0.881,0.058,-0.1764,-54.244444444444454,0.9
113,tt0087433_7,Meganeguard,8/10,9 January 2007,0.062,0.803,0.135,0.9917,24.481249999999996,0.8
114,tt0087433_8,sc8031,9/10,17 July 2008,0.135,0.74,0.126,0.699,-5.611111111111122,0.9
115,tt0087433_9,mjneu59,7/10,17 January 2011,0.068,0.915,0.016,-0.8316,-87.97142857142856,0.7
116,tt0087433_10,dmuel,10/10,19 November 2016,0.084,0.857,0.059,-0.83,-91.5,1.0
117,tt0087433_11,mbrcf,7/10,17 February 2020,0.16,0.721,0.118,-0.9096,-93.54285714285714,0.7
118,tt0087433_12,user-5-361267,,19 May 2014,0.092,0.878,0.029,-0.9948,,
119,tt0087433_13,peng_uin,9/10,25 July 2013,0.061,0.92,0.019,-0.8362,-90.9,0.9
120,tt0087433_14,z-59713,6/10,26 April 2020,0.022,0.89,0.088,0.705,42.08333333333334,0.6
121,tt0087433_15,thao,10/10,13 January 2014,0.088,0.772,0.14,0.9775,-1.1249999999999982,1.0
122,tt0087433_16,Vartiainen,5/10,25 February 2012,0.066,0.726,0.207,0.9938,99.38,0.5
123,tt0087433_17,benoitlelievre,1/10,13 February 2005,0.201,0.66,0.139,-0.9572,-78.60000000000002,0.1
124,tt0087433_18,gavin6942,5/10,29 November 2017,0.057,0.814,0.13,0.95,95.0,0.5
125,tt0087703_0,zzmale,10/10,21 November 2003,0.173,0.698,0.129,-0.7994,-89.97,1.0
126,tt0087841_0,zzmale,10/10,10 March 2004,0.081,0.739,0.18,0.981,-0.9500000000000064,1.0
127,tt0087961_0,zzmale,10/10,20 November 2003,0.087,0.844,0.069,-0.34,-67.0,1.0
128,tt0087992_0,zzmale,10/10,21 November 2003,0.155,0.708,0.137,-0.0274,-51.370000000000005,1.0
129,tt0088426_0,zzmale,,7 April 2004,0.036,0.771,0.193,0.967,,
130,tt0089335_0,zzmale,,7 April 2004,0.07,0.852,0.079,0.2748,,
131,tt0089335_1,zzmale,,8 January 2004,0.084,0.732,0.184,0.765,,
132,tt0089389_0,zzmale,,16 February 2004,0.048,0.775,0.177,0.9568,,
133,tt0089788_0,zzmale,,16 February 2004,0.0,0.917,0.083,0.743,,
134,tt0089864_0,lchadbou-326-26592,,6 September 2013,0.063,0.826,0.111,0.9595,,
135,tt0089864_1,patonamu,8/10,27 November 2002,0.059,0.801,0.141,0.6814,5.087499999999995,0.8
136,tt0089916_0,Prof_Lostiswitz,10/10,11 July 2004,0.1,0.748,0.152,0.9517,-2.4150000000000005,1.0
137,tt0090303_0,fa7999,8/10,30 July 2003,0.233,0.7,0.067,-0.9063,-94.14375,0.8
138,tt0090340_0,zzmale,10/10,20 November 2003,0.037,0.846,0.117,0.9616,-1.9199999999999995,1.0
139,tt0090832_0,zzmale,,15 March 2004,0.054,0.871,0.075,-0.09,,
140,tt0090895_0,Nazi_Fighter_David,8/10,13 November 2005,0.031,0.904,0.065,0.6808,5.049999999999999,0.8
141,tt0090895_1,zzmale,10/10,24 November 2003,0.101,0.761,0.138,0.0644,-46.78,1.0
142,tt0090907_0,LeSamourai,,16 May 2000,0.16,0.746,0.093,-0.983,,
143,tt0090907_1,howard.schumann,,26 August 2002,0.148,0.726,0.126,-0.8435,,
144,tt0090907_2,zzmale,10/10,21 November 2003,0.186,0.804,0.009,-0.98,-99.0,1.0
145,tt0090907_3,trisha-2,,5 December 2000,0.076,0.732,0.192,0.976,,
146,tt0090907_4,maxastree,7/10,5 December 2015,0.117,0.814,0.069,-0.9044,-93.17142857142856,0.7
147,tt0090907_5,leoperu,7/10,7 April 2013,0.113,0.814,0.073,-0.9385,-95.60714285714285,0.7
148,tt0090907_6,toqtaqiya2,8/10,15 November 2010,0.067,0.865,0.068,0.0772,-32.67500000000001,0.8
149,tt0090907_7,ibush,,7 December 2004,0.107,0.795,0.099,-0.5916,,
150,tt0090907_8,smrana9377-831-371630,10/10,21 December 2010,0.049,0.896,0.055,0.1646,-41.769999999999996,1.0
151,tt0090907_9,arthur_tafero,10/10,27 July 2019,0.081,0.734,0.185,0.9468,-2.6599999999999957,1.0
152,tt0090907_10,lasttimeisaw,8/10,30 March 2019,0.071,0.847,0.082,0.5321,-4.243750000000005,0.8
153,tt0090907_11,Lord_of_the_Things,7/10,23 April 2020,0.181,0.711,0.108,-0.7408,-81.4857142857143,0.7
154,tt0090907_12,jboothmillard,6/10,27 February 2018,0.127,0.765,0.109,-0.7424,-78.53333333333333,0.6
155,tt0090907_13,IMDBcinephile,9/10,1 December 2011,0.055,0.852,0.094,0.9883,10.461111111111105,0.9
156,tt0090907_14,p_radulescu,10/10,27 April 2010,0.118,0.823,0.059,-0.9403,-97.015,1.0
157,tt0090907_15,mrdonleone,2/10,14 July 2019,0.205,0.735,0.06,-0.7573,-39.324999999999996,0.2
158,tt0090907_16,mjneu59,7/10,27 November 2010,0.059,0.851,0.09,0.5647,11.76428571428572,0.7
159,tt0091190_0,humanresistor,8/10,26 June 2002,0.101,0.806,0.093,-0.2541,-53.38125,0.8
160,tt0091190_1,zzmale,10/10,19 November 2003,0.094,0.784,0.122,0.9611,-1.9449999999999967,1.0
161,tt0091190_2,Levana,4/10,5 February 1999,0.1,0.832,0.068,-0.1263,9.212499999999999,0.4
162,tt0091377_0,peanutbutter,8/10,15 January 2004,0.04,0.785,0.175,0.9686,23.037499999999987,0.8
163,tt0091377_1,rothman-7,10/10,27 April 2020,0.045,0.738,0.217,0.9851,-0.7449999999999957,1.0
164,tt0092247_0,karenz,10/10,15 May 2003,0.026,0.832,0.141,0.8934,-5.330000000000002,1.0
165,tt0092247_1,charz_mcg,10/10,12 May 2011,0.021,0.813,0.166,0.9992,-0.039999999999995595,1.0
166,tt0092706_0,cloudsponge,8/10,6 May 2011,0.015,0.899,0.086,0.8442,15.262499999999985,0.8
167,tt0093007_0,zzmale,,31 March 2004,0.139,0.704,0.157,0.3071,,
168,tt0093133_0,Nazi_Fighter_David,8/10,13 November 2005,0.084,0.716,0.2,0.9816,23.849999999999998,0.8
169,tt0093133_1,mulvi,9/10,13 March 2004,0.047,0.831,0.122,0.9506,8.36666666666667,0.9
170,tt0093133_2,bing_ming66,10/10,15 March 2001,0.022,0.895,0.083,0.9117,-4.415000000000003,1.0
171,tt0093133_3,shusei,9/10,23 October 2003,0.056,0.657,0.287,0.9986,11.033333333333339,0.9
172,tt0093133_4,zzmale,10/10,24 November 2003,0.086,0.796,0.118,0.296,-35.199999999999996,1.0
173,tt0093133_5,arthur_tafero,10/10,17 February 2021,0.103,0.777,0.12,0.6575,-17.125,1.0
174,tt0093206_0,P-Style,10/10,8 December 1999,0.024,0.805,0.171,0.9965,-0.17499999999999183,1.0
175,tt0093206_1,robzilla2001,10/10,21 August 2005,0.048,0.773,0.179,0.9403,-2.984999999999993,1.0
176,tt0093206_2,DeeNine-2,8/10,3 June 2003,0.059,0.838,0.103,0.9913,24.456249999999986,0.8
177,tt0093206_3,williamknott,8/10,26 July 2001,0.009,0.807,0.184,0.9865,24.15624999999999,0.8
178,tt0093206_4,mjneu59,7/10,29 December 2010,0.061,0.759,0.181,0.9691,40.65000000000001,0.7
179,tt0093206_5,Meganeguard,9/10,6 October 2006,0.066,0.855,0.079,0.8376,2.0888888888888935,0.9
180,tt0093206_6,dennisyoon,,8 March 2004,0.084,0.717,0.2,0.9585,,
181,tt0093206_7,Killer-40,10/10,28 October 1999,0.035,0.797,0.168,0.91,-4.499999999999993,1.0
182,tt0093206_8,sc8031,8/10,23 July 2008,0.03,0.857,0.113,0.9716,23.224999999999994,0.8
183,tt0093206_9,gq6,,12 May 2011,0.027,0.848,0.125,0.9973,,
184,tt0093206_10,p-seed-889-188469,3/10,27 November 2015,0.108,0.774,0.118,0.8341,205.6833333333333,0.3
185,tt0093206_11,anand1213,7/10,10 August 2013,0.089,0.726,0.186,0.9745,41.035714285714285,0.7
186,tt0093206_12,wood-gledhow,10/10,16 March 2017,0.048,0.789,0.162,0.9531,-2.344999999999997,1.0
187,tt0093206_13,tieman64,,23 August 2014,0.081,0.824,0.096,0.8266,,
188,tt0093206_14,TheCorniestLemur,6/10,22 March 2021,0.059,0.71,0.231,0.9924,66.03333333333333,0.6
189,tt0093206_15,y-26698,9/10,8 June 2020,0.0,0.777,0.223,0.8481,2.672222222222224,0.9
190,tt0093206_16,matthiasstoye,8/10,4 May 2020,0.034,0.8,0.166,0.9552,22.199999999999996,0.8
191,tt0093206_17,Dr_Mark_ODoherty,10/10,5 September 2019,0.0,0.629,0.371,0.9079,-4.604999999999992,1.0
192,tt0093206_18,zensawa,9/10,9 June 2019,0.0,0.868,0.132,0.4215,-21.027777777777782,0.9
193,tt0093206_19,arthur_tafero,7/10,12 August 2018,0.102,0.792,0.106,-0.3379,-52.707142857142856,0.7
194,tt0093206_20,Flurokazoo,7/10,4 December 2017,0.023,0.833,0.144,0.9878,41.985714285714295,0.7
195,tt0093206_21,gavin6942,7/10,1 June 2017,0.038,0.91,0.052,0.3182,-5.8428571428571345,0.7
196,tt0093206_22,nqure,8/10,19 March 2017,0.132,0.774,0.094,-0.9852,-99.07499999999999,0.8
197,tt0093206_23,SnoopyStyle,8/10,13 March 2015,0.055,0.85,0.095,0.7269,7.93125,0.8
198,tt0093206_24,GyatsoLa,8/10,16 April 2013,0.058,0.818,0.124,0.9536,22.099999999999994,0.8
199,tt0093844_0,nonon99_99,10/10,6 October 2005,0.105,0.767,0.128,0.784,-10.799999999999999,1.0
200,tt0093844_1,psteier,6/10,23 December 2001,0.057,0.915,0.028,-0.3506,-45.88333333333333,0.6
201,tt0093962_0,ale-dejong,10/10,9 August 2005,0.055,0.844,0.102,0.8087,-9.565000000000001,1.0
202,tt0093962_1,m_van_der_valk,9/10,19 June 2002,0.109,0.719,0.172,0.4019,-22.116666666666674,0.9
203,tt0093989_0,zzmale,,8 April 2004,0.022,0.939,0.039,0.431,,
204,tt0094386_0,zzmale,,31 March 2004,0.117,0.788,0.095,-0.7797,,
205,tt0095151_0,zzmale,10/10,2 December 2003,0.115,0.786,0.1,-0.1779,-58.894999999999996,1.0
206,tt0096475_0,zzmale,10/10,21 November 2003,0.0,0.912,0.088,0.3818,-30.910000000000004,1.0
207,tt0096478_0,winner55,9/10,17 July 2006,0.084,0.767,0.149,0.8917,5.09444444444445,0.9
208,tt0096478_1,dungeonbrownies,8/10,12 September 2015,0.141,0.68,0.179,0.9496,21.849999999999994,0.8
209,tt0096478_2,haohaiyu,9/10,1 August 2006,0.096,0.811,0.093,-0.1727,-54.03888888888889,0.9
210,tt0096478_3,dmctaylorchevy,6/10,28 August 2018,0.0,1.0,0.0,0.0,-16.666666666666664,0.6
211,tt0096478_4,zzmale,9/10,12 December 2003,0.0,0.904,0.096,0.6915,-6.0277777777777795,0.9
212,tt0097144_0,Laowai,3/10,21 February 2005,0.053,0.789,0.158,0.9364,222.73333333333332,0.3
213,tt0097144_1,Jack_Yan,1/10,3 January 2006,0.127,0.764,0.109,-0.8362,-18.100000000000033,0.1
214,tt0097144_2,Laober,1/10,29 May 2010,0.087,0.828,0.085,-0.2024,298.79999999999995,0.1
215,tt0097144_3,zzmale,10/10,30 November 2003,0.062,0.746,0.192,0.7624,-11.880000000000003,1.0
216,tt0097461_0,dbborroughs,5/10,11 October 2008,0.085,0.834,0.08,-0.1655,-16.549999999999997,0.5
217,tt0097984_0,Movie-Misfit,7/10,21 July 2019,0.112,0.681,0.207,0.9939,42.421428571428585,0.7
218,tt0097985_0,zzmale,,11 March 2004,0.167,0.768,0.065,-0.9641,,
219,tt0098717_0,zzmale,10/10,21 November 2003,0.047,0.891,0.062,0.1154,-44.230000000000004,1.0
220,tt0098717_1,fa7999,10/10,30 July 2003,0.0,0.693,0.307,0.9467,-2.6650000000000063,1.0
221,tt0099338_0,zzmale,10/10,18 December 2003,0.177,0.823,0.0,-0.8847,-94.235,1.0
222,tt0099338_1,dbborroughs,6/10,4 October 2008,0.092,0.845,0.063,-0.8692,-89.1,0.6
223,tt0099339_0,zzmale,10/10,18 December 2003,0.209,0.756,0.035,-0.9081,-95.405,1.0
224,tt0099340_0,zzmale,10/10,18 December 2003,0.124,0.754,0.122,-0.0258,-51.29,1.0
225,tt0099902_0,DeeNine-2,10/10,29 December 2002,0.117,0.775,0.108,-0.9769,-98.845,1.0
226,tt0099902_1,Chrysanthepop,,7 May 2008,0.124,0.771,0.104,-0.9163,,
227,tt0099902_2,Preston-10,10/10,24 February 2001,0.08,0.812,0.108,0.9213,-3.9349999999999996,1.0
228,tt0099902_3,jackei-1,9/10,30 January 2005,0.119,0.77,0.11,-0.4215,-67.86111111111111,0.9
229,tt0099902_4,Coxer99,,1 July 1999,0.137,0.748,0.115,-0.0074,,
230,tt0099902_5,jeff_stryker,10/10,24 October 2000,0.105,0.792,0.103,0.6736,-16.32,1.0
231,tt0099902_6,tedg,,9 September 2007,0.068,0.855,0.077,-0.4697,,
232,tt0099902_7,lastliberal,8/10,29 July 2007,0.105,0.732,0.163,0.9488,21.799999999999986,0.8
233,tt0099902_8,CountZero313,10/10,8 May 2011,0.138,0.719,0.142,0.2144,-39.28,1.0
234,tt0099902_9,khanbaliq2,9/10,3 February 2010,0.109,0.788,0.103,0.3182,-26.766666666666666,0.9
235,tt0099902_10,racoon,10/10,22 September 1998,0.064,0.857,0.079,0.1531,-42.345,1.0
236,tt0099902_11,Strider-100,,19 January 2002,0.142,0.748,0.11,-0.9459,,
237,tt0099902_12,tieman64,,23 August 2014,0.081,0.824,0.096,0.8266,,
238,tt0099902_13,smatysia,8/10,28 May 2007,0.101,0.76,0.139,0.8542,15.8875,0.8
239,tt0099902_14,breadandhammers,,23 September 2020,0.036,0.823,0.141,0.8115,,
240,tt0099902_15,arthur_tafero,8/10,12 August 2018,0.079,0.805,0.116,0.8055,12.843749999999988,0.8
241,tt0099902_16,Eternality,9/10,10 August 2010,0.149,0.763,0.088,-0.989,-99.3888888888889,0.9
242,tt0099902_17,sddavis63,7/10,23 August 2008,0.127,0.778,0.095,-0.9227,-94.47857142857143,0.7
243,tt0099902_18,Don Muvo,3/10,3 March 2009,0.157,0.792,0.05,-0.9959,-99.31666666666666,0.3
244,tt0099902_19,zetes,9/10,25 February 2001,0.15,0.756,0.094,-0.9933,-99.62777777777777,0.9
245,tt0099902_20,Blade_Le_Flambeur,,23 March 2003,0.151,0.723,0.126,-0.5514,,
246,tt0099902_21,Leofwine_draca,4/10,13 July 2017,0.102,0.765,0.133,0.4588,82.35,0.4
247,tt0099902_22,halliejopo,6/10,9 November 2013,0.033,0.755,0.212,0.9836,65.30000000000001,0.6
248,tt0099902_23,billcr12,8/10,9 May 2012,0.182,0.797,0.021,-0.9825,-98.90625,0.8
249,tt0099902_24,lee_eisenberg,,12 August 2011,0.066,0.784,0.15,0.8748,,
250,tt0101440_0,razula,,9 February 2000,0.111,0.794,0.095,-0.8158,,
251,tt0101440_1,howard.schumann,,20 May 2002,0.078,0.768,0.154,0.9913,,
252,tt0101440_2,futures-1,,3 April 2006,0.0,0.919,0.081,0.8779,,
253,tt0101440_3,bcuojoe,10/10,9 July 2000,0.043,0.817,0.14,0.9698,-1.5100000000000002,1.0
254,tt0101440_4,bagboy-2,9/10,26 July 2000,0.035,0.73,0.235,0.936,7.55555555555555,0.9
255,tt0101440_5,zzmale,10/10,24 November 2003,0.163,0.837,0.0,-0.802,-90.10000000000001,1.0
256,tt0101440_6,peanutbutter,4/10,15 January 2004,0.068,0.88,0.052,-0.3197,-14.962500000000004,0.4
