,Id,Primary Title,Original Title,Year,Genres,Average Rating,# of Votes
2,tt0018600,Xi xiang ji, Xi xiang ji,1927, Drama&Romance,6.2,114
3,tt0019996,Hongxia, Hongxia,2011, Action,6.3,52
5,tt0023036,Loving Blood of the Volcano, Huo shan qing xue,1932, Drama,6.8,50
11,tt0028281,Tian lun, Tian lun,1935, Drama,6.4,52
26,tt0033669,Golden Gate Girl, Golden Gate Girl,1941, Drama,7.4,59
47,tt0040009,Tears of the Yang-Tse, Yi jiang chun shui xiang dong liu,1947, Drama&War,7.4,288
55,tt0042054,Crows and Sparrows, Wuya yu maque,1949, Drama,7.2,237
59,tt0042785,The New China, Osvobozhdyonnyy Kitay,1951, Documentary,5.9,9
61,tt0043139,Life of a Beijing Policeman, Wo zhe yi bei zi,1950, Drama&History,7.3,158
90,tt0049979,New Year Sacrifice, Zhu Fu,1956, Drama,6.8,125
96,tt0051883,Luban De Chuanshuo, Luban De Chuanshuo,1958, Drama,5.6,5
98,tt0053010,Lin Zexu, Lin Zexu,1959, Drama&History&War,6.2,104
100,tt0053196,Qing chun zhi ge, Qing chun zhi ge,1959, Drama,6.4,36
108,tt0054034,Third Sister Liu, Liu san jie,1960, Musical,7.0,155
113,tt0055371,Geming jiating, Geming jiating,1961, Drama,6.7,13
114,tt0056078,Hong lou meng, Hong lou meng,1962, Drama,8.4,22
123,tt0057713,Threshold of Spring, Zao Chun Er Yue,1983, Drama,7.3,128
128,tt0059855,Havoc in Heaven, Da nao tian gong,1963, Action&Adventure&Animation,8.1,1795
165,tt0076581,Qingchun, Qingchun,1977, N/A,6.7,18
175,tt0079421,Troubled Laughter, Ku nao ren de xiao,1981, N/A,7.8,28
179,tt0079891,Shaolin Temple, Shao Lin si,1982, Action&Drama,6.9,4001
182,tt0080404,Evening Rain, Ba shan ye yu,1980, Drama,7.3,94
187,tt0081553,Two Stage Sisters, Wutai jiemei,1964, Drama,6.8,302
190,tt0081632,Legend of Tianyun Mountain, Tian yun shan chuan qi,1980, Drama,7.7,151
191,tt0081770,Nu lan wu hao, Nu lan wu hao,1957, Drama&Romance&Sport,6.6,84
192,tt0081781,Xiao hua, Xiao hua,1979, Drama&War,6.6,135
194,tt0081971,A Q zheng zhuan, A Q zheng zhuan,1981, Drama,6.9,139
196,tt0082662,Lin ju, Lin ju,1981, Drama,6.2,10
197,tt0083060,The Drive to Win, Sha Ou,1981, Drama&Sport,6.7,23
198,tt0083345,Xian Incident, Xian shi bian,1981, Drama&War,5.8,30
200,tt0084280,Rickshaw Boy, Luo tuo Xiang Zi,1982, Drama,6.9,144
201,tt0084363,The Herdsman, Mu Ma Ren,1982, Drama,7.3,212
207,tt0085326,My Memories of Old Beijing, Cheng nan jiu shi,1983, Drama,7.7,311
208,tt0085336,Reign Behind a Curtain, Chui lian ting zheng,1983, Drama,7.0,109
212,tt0085837,Li bing, Li bing,1983, N/A,6.4,5
217,tt0086621,Yi ge he ba ge, Yi ge he ba ge,1988, War,6.8,58
218,tt0086878,Bian cheng, Bian cheng,1984, N/A,6.8,53
219,tt0087057,Xin Fang Shi Yu, Xin Fang Shi Yu,1984, Action,6.5,33
222,tt0087301,Hibiscus Town, Fu rong zhen,1987, Drama&History&Romance,8.2,822
223,tt0087433,Yellow Earth, Huang tu di,1984, Drama&History&Music,7.1,2190
226,tt0087703,River Without Buoys, Mei you hang biao de he liu,1984, Drama,7.2,33
227,tt0087841,Lie chang zha sha, Lie chang zha sha,1984, Drama,6.5,23
229,tt0087961,Qiu Jin, Qiu Jin,1984, Biography&Drama,7.0,24
230,tt0087992,Life, Ren sheng,1984, Drama,7.8,69
234,tt0088426,Yamaha yudang, Yamaha yudang,1984, N/A,5.7,10
237,tt0089335,In the Wild Mountains, Ye shan,1986, Drama,6.8,58
238,tt0089389,Juexiang, Juexiang,1986, Drama,6.8,17
242,tt0089788,Kong que gong zhu, Kong que gong zhu,1982, Fantasy,7.3,27
244,tt0089864,Sacrificed Youth, Qing chun ji,1986, Drama,7.7,108
247,tt0089916,Ri Chu, Ri Chu,1985, Drama,8.1,67
250,tt0090303,The Last Empress, Mo dai huang hou,1987, Drama,7.0,99
251,tt0090340,Wreaths at the Foot of the Mountain, Gao shan xia de hua huan,1985, Drama&War,7.2,190
252,tt0090587,Cross the River, Guo jiang,1988, Action&Fantasy,6.5,11
254,tt0090832,Shao ye de mo nan, Shao ye de mo nan,1987, Comedy,6.2,24
256,tt0090895,The Big Parade, Da yue bing,1986, Drama,6.0,157
257,tt0090907,The Horse Thief, Dao ma zei,1986, Drama,6.9,1146
260,tt0091190,The Black Cannon Incident, Hei pao shi jian,1985, Comedy,7.3,291
264,tt0091377,The Old Well, Lao jing,1987, Drama&Romance,7.1,285
266,tt0092192,Wan zhong, Wan zhong,1989, Drama,7.4,31
267,tt0092247,A Girl from Hunan, Xiangnu xiaoxiao,1987, Drama,6.7,167
270,tt0092706,Buddhas Lock, Tian pu sa,1987, Drama,6.9,14
271,tt0093007,Yuanli zhanzhengde niandai, Yuanli zhanzhengde niandai,1987, N/A,7.3,7
273,tt0093131,The Street Players, Gushu Yiren,1987, Drama,6.0,14
274,tt0093133,King of the Children, Hai zi wang,1988, Drama,6.8,481
275,tt0093206,Red Sorghum, Hong gao liang,1988, Drama&History&Romance,7.4,8142
278,tt0093844,Woman Demon Human, Ren gui qing,1987, Drama,7.3,95
282,tt0093962,The Romance of Book and Sword, Shu jian en chou lu,1987, Action&Drama,6.6,72
284,tt0093989,Slaughter in Xian, Xian sha lu,1990, Action&Crime&Drama,6.5,10
285,tt0094000,Ba qi zi di, Ba qi zi di,1988, Drama&History,6.3,27
286,tt0094386,Zui hou de feng kuang, Zui hou de feng kuang,1989, Action&Crime&Thriller,6.5,14
289,tt0094845,The Case of the Silver Snake, Yin she mou sha an,1988, Thriller,6.3,23
293,tt0095151,Feng kuang de dai jia, Feng kuang de dai jia,1989, Drama,6.8,44
294,tt0095318,Hong yi shao nu, Hong yi shao nu,1985, Drama,8.0,80
298,tt0095817,Panda monogatari, Panda monogatari,1988, Drama&Family,7.6,7
304,tt0096475,Rock Kids, Yaogun Qingnian,1988, Drama&Music,5.9,22
305,tt0096478,Yellow River Fighter, Huang he da xia,1988, Action&Drama,6.9,143
307,tt0097144,Codename Cougar, Dai hao mei zhou bao,1989, Drama&Thriller,4.3,225
309,tt0097461,Gua fu cun, Gua fu cun,1989, Drama,7.9,64
312,tt0097984,Ninja in Ancient China, Shen tong,1993, Action&Adventure&Drama,5.0,31
313,tt0097985,Niu-Peng, Niu-Peng,1989, Drama,6.2,83
321,tt0098717,The Last Aristocrats, Zui hou de gui zu,1989, Drama&History,7.7,50
327,tt0099338,Da Jue Zhan I: Liao Shen Zhan Yi, Da Jue Zhan I: Liao Shen Zhan Yi,1990, Drama&History&War,6.5,135
328,tt0099339,Da Jue Zhan II: Huai Hai Zhan Yi, Da Jue Zhan II: Huai Hai Zhan Yi,1991, Drama&History&War,6.4,116
329,tt0099340,Da Jue Zhan III: Ping Jin Zhan Yi, Da Jue Zhan III: Ping Jin Zhan Yi,1992, Drama&History&War,6.6,98
333,tt0099902,Ju Dou, Ju Dou,1990, Drama&Romance,7.6,7709
342,tt0101425,Beijing ni zao, Beijing ni zao,1991, N/A,7.0,46
343,tt0101440,Life on a String, Bian zou bian chang,1991, Drama&Music&Romance,6.7,623
346,tt0101640,Raise the Red Lantern, Dà hóng denglong gaogao guà,1991, Drama&History&Romance,8.1,30065
347,tt0101641,The Last Eunuch, Da taijian Li Lianying,1991, Drama&History,6.8,97
358,tt0102738,Qingchun wu hui, Qingchun wu hui,1991, Drama,7.6,16
360,tt0102917,The Swordsman in Double Flag Town, Shuang Qi Zhen dao ke,1991, Adventure,7.1,484
369,tt0103762,Huang he yao, Huang he yao,1990, Adventure&Comedy&Drama,7.8,17
375,tt0104318,Gao bie zi jin cheng, Gao bie zi jin cheng,1992, Drama,6.2,32
377,tt0104646,Kuang, Kuang,1992, Drama&Romance,6.9,15
379,tt0104800,Mama, Mama,1991, Drama,6.6,34
382,tt0105197,The Story of Qiu Ju, Qiu Ju da guan si,1992, Comedy&Drama,7.6,5528
394,tt0105842,Deadend Besiegers, Wu Lin sheng dou shi,1992, Action&Comedy,6.4,75
397,tt0105863,Xuese Qingchen, Xuese Qingchen,1992, Crime&Drama,7.7,51
399,tt0105895,Zhou Enlai, Zhou Enlai,1992, Biography&Drama,7.3,64
400,tt0105903,Legend of the Drunken Tiger, Zui gui Zhang San,1990, Action&Romance,4.7,41
401,tt0106332,Farewell My Concubine, Ba wang bie ji,1993, Drama&Music&Romance,8.1,25568
403,tt0106378,Beijing Bastards, Beijing zazhong,1993, Drama,5.5,163
405,tt0106532,Ce huang qi, Ce huang qi,1993, N/A,6.6,5
406,tt0106602,Descendants of Confucius, Que li ren jia,1993, N/A,7.5,14
407,tt0106617,Feng huang qin, Feng huang qin,1993, Drama,6.6,104
408,tt0106643,Da Sa Ba, Da Sa Ba,1993, Romance,7.0,131
409,tt0106750,The Days, Dongchun de rizi,1993, Drama,6.2,160
410,tt0106771,Dragons of the Orient, Dong fang ju long,1988, Action&Documentary,6.0,93
411,tt0106772,A Dream in Red Mansions, Hong lou meng,1988, Drama,7.5,50
412,tt0106937,The Legend II, Fong Sai Yuk 2,1993, Action&Adventure&Comedy,7.0,4193
415,tt0107109,Hidden Hero, Jiang hu qi bing,1990, Action,6.0,17
416,tt0107158,A Soul Haunted by Painting, Hua hun,1994, Biography&Drama&Romance,6.7,392
417,tt0107161,Fist from Shaolin, Huang Fei Hong zhi nan er dang bao guo,1993, Action&Adventure&Comedy,6.6,73
420,tt0107358,The Blue Kite, Lan feng zheng,1993, Drama,7.6,2716
422,tt0107463,Luo he zhen de xiong di, Luo he zhen de xiong di,1995, Drama,5.8,5
429,tt0108145,Sishi puhuo, Sishi puhuo,1992, Drama,7.9,10
432,tt0108227,Xinghua san yue tian, Xinghua san yue tian,1994, Drama&Romance,6.5,51
441,tt0108608,Woman Sesame Oil Maker, Xiang hun nü,1993, Drama,7.3,280
442,tt0108612,The True-Hearted, Xin xiang,1992, Drama&Music,8.0,32
444,tt0108615,Red Beads, Xuan lian,1994, Drama,6.5,13
446,tt0108644,Zai na yao yuan de di fang, Zai na yao yuan de di fang,1993, Biography&Drama&Romance,7.1,7
447,tt0108652,Zhao le, Zhao le,1993, Comedy&Drama,6.8,108
451,tt0109418,Chinas First Swordsman, Shen zhou di yi dao,1994, Action&Drama,6.5,8
456,tt0109946,Shanghai Fever, Gu feng,1994, Drama,7.0,103
457,tt0109948,The Square, Guang Chang,1995, Documentary,7.5,13
458,tt0110007,Hei shan lu, Hei shan lu,1994, Drama,7.6,11
459,tt0110051,Blush, Hong fen,1995, Drama,6.9,129
462,tt0110081,To Live, Huo zhe,1994, Drama&War,8.3,16359
472,tt0110625,Nan quan wang, Nan quan wang,1984, Action,6.3,70
485,tt0111752,The Wooden Mans Bride, Wu Kui,1994, Drama,6.8,216
487,tt0111771,Revanchist, Xin bao chou,1994, Adult,6.6,8
491,tt0111786,In the Heat of the Sun, Yang guang can lan de ri zi,1994, Drama&Romance,8.2,3974
510,tt0113825,On the Beat, Min jing gu shi,1995, Comedy,7.0,151
515,tt0114243,Red Cherry, Hong ying tao,1995, Drama&War,6.9,677
526,tt0115028,Postman, Youchai,1995, Drama,6.3,155
528,tt0115054,Zhong e Lie Che da jie an, Zhong e Lie Che da jie an,1995, Action&Crime,4.0,13
536,tt0115669,The King of Masks, Bian Lian,1996, Drama,7.7,3117
544,tt0116223,Erzi, Erzi,1996, Drama,7.5,29
546,tt0116295,Temptress Moon, Feng yue,1996, Drama&Romance,6.8,1782
565,tt0118120,Lan ling wang, Lan ling wang,1995, N/A,6.5,39
566,tt0118187,Wo ye you ba ba, Wo ye you ba ba,1996, Family,6.0,9
567,tt0118199,Wu Shan Yun Yu, Wu Shan Yun Yu,1996, Comedy&Drama,7.0,144
579,tt0120538,The Opium War, Ya pian zhan zheng,1997, Drama&History&War,6.5,504
589,tt0121180,The Big Road, Dalu,1935, Comedy&Drama&Musical,6.8,254
595,tt0121739,Abbot Hai Teng of Shaolin, Shao Lin Hai Deng da shi,1985, Action&Documentary&Sport,6.9,101
598,tt0121890,Little Toys, Xiao Wanyi,1933, Drama&War,7.0,168
600,tt0121918,China Heat, Zhong Hua jing hua,1992, Action&Crime,4.6,33
601,tt0121919,Kekes Magic Umbrella, Zhui gui san,2000, Family,6.7,7
604,tt0122805,Yinhe shuangxing, Yinhe shuangxing,1931, Drama&Romance,6.1,43
606,tt0123329,Journey to Western Xia Empire, Xixia lu tiaotiao,1997, Drama,6.5,47
607,tt0123450,Black Snow, Ben ming nian,1990, Drama,7.2,407
608,tt0124852,Sun Valley, Ri guang xia gu,1995, Action&Adventure&Drama,7.1,47
610,tt0125279,Frozen, Jidu hanleng,1996, Drama,6.4,265
620,tt0130380,Zhou mo qing ren, Zhou mo qing ren,1993, Drama,6.3,66
622,tt0131654,Xiao jiao qi mou sheng ji, Xiao jiao qi mou sheng ji,1996, Comedy,4.8,24
623,tt0131655,Ying jia, Ying jia,1996, N/A,7.0,10
627,tt0134824,Strange Friends, Mo sheng de peng you,1983, Drama,6.8,8
635,tt0140700,Womens Story, Nu ren de gu shi,1989, N/A,8.2,11
636,tt0144020,Pickpocket, Xiao Wu,1998, Drama,7.4,2185
637,tt0145254,Out of Phoenix Bridge, Hui dao feng huang qiao,1997, Documentary,6.1,7
643,tt0151464,Surveillance, Mai fu,1997, Comedy&Drama,6.6,86
652,tt0162866,The Emperor and the Assassin, Jing Ke ci Qin Wang,1998, Drama&History&Romance,7.2,5961
658,tt0164934,Tian guo en chou, Tian guo en chou,1987, Action&Drama&History,8.0,40
659,tt0165127,Burning of the Red Lotus Monastery, Huo shao hong lian si,1928, Drama,7.5,40
661,tt0165234,Disciples of Shaolin Temple, Shao Lin shu jia di zhi,1985, N/A,6.4,45
674,tt0168499,Going to School with Father on My Back, Bei zhu baba shangxue qu,1998, Drama,6.7,106
675,tt0169064,Gui lin rong ji, Gui lin rong ji,1998, Drama,7.3,57
676,tt0169279,Sun Bird, Taiyangniao,1998, Drama,7.0,5
681,tt0174425,Ren zhi chu, Ren zhi chu,1992, N/A,7.0,5
686,tt0177624,Love in the City, Chengshi aiqing,1997, N/A,8.8,8
692,tt0179191,Genghis Khan, Genghis Khan,1998, Adventure&Drama&War,6.9,98
697,tt0182030,Da zuo deng xiang you zhuan, Da zuo deng xiang you zhuan,1996, Comedy,7.1,29
699,tt0182776,Penitentiary Angel, Nü er gu,1995, Crime&Drama,7.0,113
700,tt0182826,Black Spot, Hei se zou lang,1994, Action,7.4,23
704,tt0183576,Nie Er, Nie Er,1960, Biography&Drama,7.5,20
705,tt0183700,Restless, Restless,1998, Comedy&Romance,6.3,63
706,tt0183828,Street Angel, Ma lu tian shi,1937, Comedy&Drama&Musical,7.2,767
710,tt0184464,Fei lai de xian he, Fei lai de xian he,1982, N/A,8.6,7
712,tt0184562,Tai hou ji xiang, Tai hou ji xiang,1996, N/A,6.1,43
714,tt0185028,Yong shi wo ai, Yong shi wo ai,1994, Drama,5.3,64
715,tt0185415,An Old Man and His Dog, Lao ren he gou,1993, N/A,7.9,19
716,tt0185673,Shao Lin ying xiong zhi Feng Shi-Yu Hong Zhi-Guan, Shao Lin ying xiong zhi Feng Shi-Yu Hong Zhi-Guan,1994, Action,5.2,34
717,tt0186015,Da lu, Da lu,1993, Action&Comedy&Crime,5.7,13
719,tt0186709,Naked Blood, Xiu Nu,1994, N/A,5.0,10
721,tt0188299,Heroic Sons and Daughters, Ying xiong er nü,2020, War,6.9,83
723,tt0188790,Kung Fu Hero, Kung Fu Hero,1989, N/A,6.5,13
725,tt0189219,Spring in a Small Town, Xiao cheng zhi chun,1948, Drama&Romance,7.4,2646
726,tt0189220,Xu Mao and his Daughters, Xu Mao he ta de nü er men,1983, N/A,7.0,19
728,tt0190887,Lunar Eclipse, Yue shi,1999, Drama,6.4,61
730,tt0191889,Chun can, Chun can,1933, Drama,6.7,58
731,tt0192127,Hong lou meng, Hong lou meng,1945, Drama&Romance,6.6,25
732,tt0192177,Jia, Jia,1941, Drama&War,7.6,8
733,tt0192239,Love and Duty, Lian ai yu yi wu,1931, Drama,7.2,44
734,tt0192272,Dragon Town Story, Long cheng zheng yue,1997, N/A,7.6,45
735,tt0192338,Maiden in Armour, Mulan cong jun,1939, Drama&History&War,6.2,20
736,tt0192367,Ningwu Pass, Ningwu Pass,1941, N/A,6.4,5
737,tt0192378,The Classic for Girls, Nü er jing,1934, Drama,6.6,5
738,tt0192491,Living Dream, Qian niu hua,1995, Drama,5.6,5
739,tt0192665,Tao hua qi xue ji, Tao hua qi xue ji,1931, Drama&Romance,6.9,145
740,tt0192679,Hong se lian ren, Hong se lian ren,1998, Drama&Romance,6.3,157
741,tt0192770,Eternity, Wan shi liu fang,1944, Drama,4.3,6
742,tt0192826,Old and New Shanghai, Xinjiu Shanghai,1936, Drama,5.1,59
743,tt0192842,A Spray of Plum Blossoms, Yi jian mei,1931, Drama,6.1,52
744,tt0192845,Yin mu yan shi, Yin mu yan shi,1931, N/A,6.4,5
745,tt0193709,Alishan feng yun, Alishan feng yun,1950, Drama&Romance,5.8,5
747,tt0195256,The Goddess, Shen nu,1934, Drama,7.7,1906
748,tt0195258,Life and Death, Shengsi tongxin,1936, N/A,5.0,8
749,tt0195260,Crossroads, Shi zi jie tou,1937, Comedy&Drama&Romance,7.0,145
750,tt0195290,Along the Sungari River, Song hua jiang shang,1947, Drama,6.8,49
751,tt0195402,The Lights of Ten Thousand Homes, Wanjia denghuo,1948, Drama,7.3,120
755,tt0199027,Shui hu chuan gu shi lang zi yan qing, Shui hu chuan gu shi lang zi yan qing,1984, N/A,6.7,7
756,tt0199354,Be There or Be Square, Bu jian bu san,1998, Comedy&Romance,7.2,1140
759,tt0199922,Out of Danger, Jue chu feng sheng,1985, N/A,5.8,8
761,tt0200121,Cut-Throat Struggle for an Invaluable Treasure, Sai wai duo bao,1982, Action&Sport,6.7,10
762,tt0200292,Deadly Fury, Wu lin zhi,1988, Action&Drama,7.1,66
763,tt0201963,Tai shan en chou, Tai shan en chou,1991, N/A,7.0,6
764,tt0202122,Wu Song and Pan Jianlin, Wu Song and Pan Jianlin,1938, N/A,7.2,5
765,tt0202160,Little Heroes, Zi gu ying xiong chu shao nian,1983, Action&Drama,7.5,48
771,tt0205107,National Customs, Guo feng,1935, Drama,5.9,51
772,tt0205218,Symphony of Lianhua, Lian hua jiao xiang qu,1937, Comedy&Drama,7.1,30
773,tt0205405,Sons and Daughters of the Times, Shi dai de er nu,1933, N/A,7.0,7
774,tt0205569,Vistas of Art, Yi hai feng guang,1937, N/A,6.6,9
775,tt0206160,Mu yu zi, Mu yu zi,1947, N/A,6.0,5
776,tt0206286,The Young Mistress Fan, Shao nai nai de shan zi,1939, Drama,6.2,5
777,tt0206313,The Spring Festival, Guo nian,1991, Drama,7.1,170
779,tt0206442,Song at Midnight, Ye ban ge sheng,1935, Horror&Romance,6.2,710
780,tt0206443,Ye ban ge sheng xu ji, Ye ban ge sheng xu ji,1941, Horror,6.5,11
782,tt0206738,Family, Jia,1957, Drama,7.2,36
783,tt0207964,An ju, An ju,1997, Drama,7.1,26
785,tt0209189,Not One Less, Yi ge dou bu neng shao,1999, Drama,7.7,8314
786,tt0209510,Twin Sisters, Zi mei hua,1934, Drama,6.2,87
787,tt0210677,Crazy English, Fengkuang yingyu,1999, Documentary,6.6,72
788,tt0210916,Postmen in the Mountains, Na shan na ren na gou,1999, Drama,7.8,1329
791,tt0215369,Shower, Xi zao,1999, Comedy&Drama,7.5,3910
795,tt0217681,Men and Women, Nannan nünü,1999, Comedy,6.0,118
801,tt0221723,Zhi yin, Zhi yin,1981, N/A,6.8,23
803,tt0223998,Red River Valley, Hong he gu,1997, Drama&History&Romance,6.7,292
805,tt0227366,At Middle Age, Ren dao zhong nian,1982, Drama,7.8,67
807,tt0227608,Fate of Graduates, Taoli jie,1934, Drama,7.3,44
808,tt0227844,Wild Flower, Ye cao xian hua,1930, Drama,6.9,7
810,tt0229539,Heart of China, Huanghe juelian,1999, Drama&War,6.3,262
811,tt0230290,Steel Meets Fire, Lie huo jin gang,1991, War,6.5,27
816,tt0235060,The Road Home, Wo de fu qin mu qin,1999, Drama&History&Romance,7.8,12524
820,tt0235897,Paper, Zhi,2000, N/A,5.0,6
821,tt0236598,Breaking the Silence, Piao liang ma ma,2000, Drama,7.0,401
822,tt0238588,Shadow Magic, Shadow Magic,2000, Drama&History&Romance,6.8,745
823,tt0239220,Spicy Love Soup, Aiqing mala tang,1997, Drama&Romance,7.0,278
832,tt0243898,Scenery, Feng jing,2000, N/A,7.2,8
833,tt0243943,Hearts for the Motherland, Hai wai chi zi,1979, Drama,7.1,15
835,tt0244709,Pavilion of Women, Pavilion of Women,2001, Drama&Romance&War,5.9,956
838,tt0245224,Old Men, Lao tou,1999, Documentary,7.5,25
841,tt0245929,Devils on the Doorstep, Guizi lai le,2000, Comedy&Drama&War,8.2,6964
848,tt0256630,Father, Baba,2000, Comedy&Drama,6.8,147
850,tt0257664,A Lingering Face, Feichang xiari,2000, Drama&Mystery,7.0,17
852,tt0258885,Platform, Zhantai,2000, Drama&History,7.4,2460
855,tt0259945,Ban ye ji jiao, Ban ye ji jiao,1965, Animation,6.8,45
857,tt0260898,An Unusual Love, Fei chang ai qing,2000, Drama&Romance,7.5,8
858,tt0260960,Beijing Herbs, Huanglian houpu,2000, Drama,7.7,7
859,tt0260987,The Dream Factory, Jia fang yi fang,1997, Comedy,7.3,1314
861,tt0261730,Colors of the Blind, Hei yanjing,1997, Drama&Sport,6.7,22
862,tt0261797,After Divorce, Li hun,1992, Drama,6.2,16
864,tt0261998,Xians Finest, Shui bu zhao,2000, Drama,6.7,9
865,tt0262264,Lotus Lantern, Bao lian deng,1999, Animation,6.8,637
866,tt0262470,The Red Suit, Hong xi fu,2000, Drama,7.4,7
867,tt0262529,Crash Landing, Jinji pojiang,2000, Action,5.7,98
869,tt0264457,The Straw House, Caofangzi,2000, Drama,7.2,63
871,tt0265740,Fatal Decision, Sheng si jue ze,2000, Drama,6.1,39
874,tt0266450,Death Visits the Living, Yi ge shi zhe dui sheng zhe de fang wen,1988, Drama&Fantasy&Romance,6.8,11
878,tt0269537,A Tree in House, Mei shi tou zhe le,1998, Comedy,6.8,167
880,tt0270095,Song of Tibet, Yeshe Dolma,2000, Drama,7.2,44
889,tt0276329,Sorry Baby, Mei wan mei liao,1999, Comedy&Drama,6.8,771
891,tt0276504,A Sigh, Yi sheng tan xi,2000, Drama&Family&Romance,7.1,350
892,tt0276615,The Troubleshooters, Wan zhu,1989, Comedy&Drama,7.5,381
893,tt0276769,Zou dao di, Zou dao di,2001, Comedy&Crime&Drama,6.5,39
894,tt0277444,I Love Beijing, Xiari nuanyangyang,2001, Drama&Romance,6.9,205
906,tt0285082,Fading Reindeer Bell, Fading Reindeer Bell,1997, Documentary,7.3,7
907,tt0285181,Hi Frank!, Hi Frank!,2002, Comedy&Drama&Family,7.3,10
910,tt0285848,The Orphan of Anyang, Anyangde guer,2001, Drama,6.8,230
913,tt0286135,Ge er men, Ge er men,2001, N/A,7.7,6
919,tt0287934,Da wan, Da wan,2001, Comedy&Drama,6.7,2089
921,tt0288583,Love Story by Tea, Juhua cha,2001, Drama,6.7,19
923,tt0289196,The Full Moon, Yue yuan jin xiao,2001, Drama,6.1,7
928,tt0292278,Theres a Strong Wind in Beijing, Beijing de feng hen da,2000, Documentary,6.9,46
929,tt0293660,The Touch, Tian mai zhuan qi,2002, Action&Adventure&Romance,4.6,1613
932,tt0295435,Metamorphosis, Se jie,2001, Drama,5.1,7
936,tt0297161,Seafood, Haixian,2001, Drama,6.5,76
939,tt0297928,The Treatment, Gua sha,2001, Drama,6.7,289
941,tt0298238,Quitting, Zuotian,2001, Biography&Drama&Music,7.1,716
943,tt0299977,Hero, Ying xiong,2002, Action&Adventure&History,7.9,174979
944,tt0300060,Breaking with Old Ideas, Jue lie,1976, Drama,7.6,49
947,tt0301376,Hei xia die xue ji, Hei xia die xue ji,1986, Action&Adventure&Drama,4.7,10
948,tt0303243,Happy Times, Xing fu shi guang,2000, Comedy&Drama&Romance,7.4,3882
949,tt0303260,Purple Sunset, Ziri,2001, War,7.0,421
950,tt0303814,Hu die de wei xiao, Hu die de wei xiao,2001, Drama&Thriller,6.0,23
952,tt0304092,Go for Broke, Heng shu heng,2001, Drama,7.5,15
953,tt0304641,Roots and Branches, Wo de xiong di jie mei,2001, Family,6.6,202
959,tt0307154,Mi yu shi qi xiao shi, Mi yu shi qi xiao shi,2001, Drama,6.1,51
961,tt0308559,The Marriage Certificate, Shui shuo wo bu zai hu,2001, Comedy&Drama,6.4,171
962,tt0310870,Chen Mo and Meiting, Chen Mo he Meiting,2002, Drama,6.9,66
963,tt0311041,Waiting Alone, Du zi deng dai,2004, Comedy&Drama&Romance,7.2,1024
967,tt0312535,C.E.O., C.E.O.,2002, N/A,6.2,25
973,tt0316906,You yuan, You yuan,1984, N/A,6.4,16
974,tt0317763,Fish and Elephant, Jin nian xia tian,2001, Romance,5.1,169
975,tt0318025,Unknown Pleasures, Ren xiao yao,2002, Comedy&Drama,6.9,2210
981,tt0322265,Fearless Hyena 3, Fearless Master,1980, Action,5.5,65
983,tt0323015,Blood on Wolf Mountain, Lang shan die xue ji,1936, Drama,6.6,34
988,tt0325731,Liangjia funu, Liangjia funu,1986, Drama,7.2,14
989,tt0326383,High Sky Summer, Wang Shouxian de xia tian,2002, N/A,5.7,24
992,tt0327899,Huang shan lai de gu niang, Huang shan lai de gu niang,1985, N/A,7.6,10
993,tt0328492,Sunset Street, Xizhao jie,1983, Drama,6.8,15
994,tt0328629,The Wedding Maidens, Chujia nu,1990, Drama,6.1,11
995,tt0329775,Chicken Poets, Xiang ji mao yi yang fei,2002, Drama,6.8,126
996,tt0329796,Zhenzhen de fa wu, Zhenzhen de fa wu,1986, Drama,5.2,5
1000,tt0332639,Together, He ni zai yi qi,2002, Drama&Music,7.3,4230
1001,tt0332831,Springtime in a Small Town, Xiao cheng zhi chun,2002, Drama&Romance,6.9,1264
1002,tt0333058,Afanti, Afanti,1979, Drama,7.7,15
1003,tt0333060,Ailipu yu Sainaimu, Ailipu yu Sainaimu,1981, Drama&Romance,6.8,5
1004,tt0333088,Aolei Yilan, Aolei Yilan,1979, Drama,7.5,13
1005,tt0333099,Ashima, Ashima,1964, Musical&Romance,7.6,44
1006,tt0333126,Baise qi yi, Baise qi yi,1989, War,5.6,12
1007,tt0333135,Bao shi fu zi, Bao shi fu zi,1983, Drama,6.6,14
1008,tt0333139,Bei gao Shangang ye, Bei gao Shangang ye,1994, Drama,7.2,12
1009,tt0333142,Beijing Chick, Beijing xiao niu,1991, Family&Fantasy,5.2,20
1010,tt0333292,Da ji qin lue zhe, Da ji qin lue zhe,1965, War,7.8,12
1011,tt0333326,Di hou wu gong dui, Di hou wu gong dui,1995, War,6.8,5
1012,tt0333360,The Woman Who Sells the Bean Curd, Dou hua nu,1992, Drama,6.8,6
1013,tt0333394,Emei fei dao, Emei fei dao,1985, Crime&Mystery,6.6,5
1014,tt0333527,Anxious to Return, Gui xin si jian,1983, War,7.4,22
1015,tt0333538,Hai tan, Hai tan,1984, Drama,6.2,12
1016,tt0333673,Jiang Hu: Life on the Road, Jiang Hu: Life on the Road,1999, Documentary,7.8,12
1017,tt0333679,This Winter, Jin nian dong tian,2002, Documentary,7.1,11
1018,tt0333680,The Battle of Jinan, Ji nan zhan yi,1979, War,6.4,5
1019,tt0333682,Jing du qiu xia, Jing du qiu xia,1987, Drama,5.8,51
